flightid,originairportid,destairportid,carrier,dayofmonth,dayofweek,departuredelay,arrivaldelay
76063,13930,12478,9E,23,2,27,32
76064,13930,12478,9E,24,3,-10,-3
76065,13930,12478,9E,25,4,-7,9
76066,13930,12478,9E,26,5,78,64
76067,13930,12478,9E,27,6,-7,-18
76068,13930,12478,9E,28,7,-5,0
76069,13930,12478,9E,29,1,-3,-8
76070,13930,12478,9E,30,2,-6,4
76071,12478,13930,9E,1,1,-9,-15
76072,12478,13930,9E,2,2,-8,-24
76073,12478,13930,9E,3,3,-7,-15
76074,12478,13930,9E,4,4,-1,-28
76075,12478,13930,9E,5,5,-5,-35
76076,12478,13930,9E,6,6,-6,-25
76077,12478,13930,9E,7,7,-2,-20
76078,12478,13930,9E,8,1,43,66
76079,12478,13930,9E,9,2,101,92
76080,12478,13930,9E,10,3,337,347
76081,12478,13930,9E,11,4,7,-13
76082,12478,13930,9E,12,5,-2,-8
76083,12478,13930,9E,13,6,-3,-8
76084,12478,13930,9E,14,7,3,4
76085,12478,13930,9E,15,1,1,3
76086,12478,13930,9E,16,2,-8,-16
76087,12478,13930,9E,17,3,-4,44
76088,12478,13930,9E,18,4,0,0
76089,12478,13930,9E,19,5,183,166
76090,12478,13930,9E,20,6,103,80
76091,12478,13930,9E,21,7,-7,-23
76092,12478,13930,9E,22,1,-7,-43
76093,12478,13930,9E,23,2,-6,13
76094,12478,13930,9E,24,3,28,60
76095,12478,13930,9E,25,4,37,54
76096,12478,13930,9E,26,5,-6,-21
76097,12478,13930,9E,27,6,2,-22
76098,12478,13930,9E,28,7,-10,-32
76099,12478,13930,9E,29,1,-5,-32
76100,12478,13930,9E,30,2,-2,-43
76101,13930,12478,9E,1,1,128,114
76102,13930,12478,9E,2,2,12,-3
76103,13930,12478,9E,3,3,-4,-13
76104,13930,12478,9E,4,4,-6,-18
76105,13930,12478,9E,5,5,-5,-21
76106,13930,12478,9E,6,6,-12,-18
76107,13930,12478,9E,8,1,-5,-1
76108,13930,12478,9E,9,2,127,124
76109,13930,12478,9E,10,3,0,0
76110,13930,12478,9E,11,4,36,52
76111,13930,12478,9E,12,5,0,0
76112,13930,12478,9E,13,6,-13,-30
76113,13930,12478,9E,14,7,-2,23
76114,13930,12478,9E,15,1,3,-8
76115,13930,12478,9E,16,2,-9,-29
76116,13930,12478,9E,17,3,0,0
76117,13930,12478,9E,18,4,0,0
76118,13930,12478,9E,19,5,146,140
76119,13930,12478,9E,20,6,-6,-23
76120,13930,12478,9E,21,7,-3,1
76121,13930,12478,9E,22,1,0,0
76122,13930,12478,9E,23,2,-3,5
76123,13930,12478,9E,24,3,29,41
76124,13930,12478,9E,25,4,0,7
76125,13930,12478,9E,26,5,-6,-21
76126,13930,12478,9E,27,6,-10,-18
76127,13930,12478,9E,28,7,-9,8
76128,13930,12478,9E,29,1,-2,-14
76129,13930,12478,9E,30,2,-7,-18
76130,12478,13930,9E,1,1,161,138
76131,12478,13930,9E,2,2,-7,9
76132,12478,13930,9E,3,3,-3,-3
76133,12478,13930,9E,4,4,-7,-29
76134,12478,13930,9E,5,5,-6,-25
76135,12478,13930,9E,6,6,-7,-36
76136,12478,13930,9E,7,7,13,8
76137,12478,13930,9E,8,1,-5,-32
76138,12478,13930,9E,9,2,147,140
76139,12478,13930,9E,10,3,0,0
76140,12478,13930,9E,11,4,47,37
76141,12478,13930,9E,12,5,0,0
76142,12478,13930,9E,13,6,-1,-17
76143,12478,13930,9E,14,7,1,1
76144,12478,13930,9E,15,1,-1,2
76145,12478,13930,9E,16,2,-7,-24
76146,12478,13930,9E,17,3,0,0
76147,12478,13930,9E,18,4,0,0
76148,12478,13930,9E,19,5,90,95
76149,12478,13930,9E,20,6,-5,-4
76150,12478,13930,9E,21,7,-5,-1
76151,12478,13930,9E,22,1,0,0
76152,12478,13930,9E,23,2,-3,-6
76153,12478,13930,9E,24,3,-7,3
76154,12478,13930,9E,25,4,-3,-21
76155,12478,13930,9E,26,5,-8,-10
76156,12478,13930,9E,27,6,-2,-37
76157,12478,13930,9E,28,7,-5,-33
76158,12478,13930,9E,29,1,-4,-43
76159,12478,13930,9E,30,2,-8,-48
76160,12478,13930,9E,1,1,0,-10
76161,12478,13930,9E,2,2,-5,32
76162,12478,13930,9E,3,3,-5,-10
76163,12478,13930,9E,4,4,-3,-23
76164,12478,13930,9E,5,5,-4,-6
76165,12478,13930,9E,6,6,-1,-6
76166,12478,13930,9E,7,7,4,-4
76167,12478,13930,9E,8,1,-2,-10
76168,12478,13930,9E,9,2,77,81
76169,12478,13930,9E,10,3,0,0
76170,12478,13930,9E,11,4,72,69
76171,12478,13930,9E,12,5,11,6
76172,12478,13930,9E,13,6,-1,-15
76173,12478,13930,9E,14,7,5,-23
76174,12478,13930,9E,15,1,-3,2
76175,12478,13930,9E,16,2,-10,-12
76176,12478,13930,9E,17,3,173,150
76177,12478,13930,9E,18,4,0,0
76178,12478,13930,9E,19,5,290,247
76179,12478,13930,9E,20,6,-2,-40
76180,12478,13930,9E,21,7,100,77
76181,12478,13930,9E,22,1,0,0
76182,12478,13930,9E,23,2,73,84
76183,12478,13930,9E,24,3,0,0
76184,12478,13930,9E,25,4,16,14
76185,12478,13930,9E,26,5,-7,-15
76186,12478,13930,9E,27,6,9,-10
76187,12478,13930,9E,28,7,-1,-25
76188,12478,13930,9E,29,1,38,10
76189,12478,13930,9E,30,2,7,0
94770,14908,13930,AA,1,1,3,1
94771,14908,13930,AA,2,2,-6,-4
94772,14908,13930,AA,3,3,16,25
94773,14908,13930,AA,4,4,27,34
94774,14908,13930,AA,5,5,-1,-15
94775,14908,13930,AA,6,6,-3,-10
94776,14908,13930,AA,7,7,1,-16
94777,14908,13930,AA,8,1,23,26
94778,14908,13930,AA,9,2,50,95
94779,14908,13930,AA,10,3,64,107
94780,14908,13930,AA,11,4,99,92
94781,14908,13930,AA,12,5,1,-4
94782,14908,13930,AA,13,6,-10,8
94783,14908,13930,AA,14,7,13,11
94784,14908,13930,AA,15,1,-1,-9
94785,14908,13930,AA,16,2,128,106
94786,14908,13930,AA,17,3,130,127
94787,14908,13930,AA,18,4,130,122
94788,14908,13930,AA,19,5,0,-3
94789,14908,13930,AA,20,6,-3,-12
94790,14908,13930,AA,21,7,-4,-5
94791,14908,13930,AA,22,1,-2,-11
94792,14908,13930,AA,23,2,1,-7
94793,14908,13930,AA,24,3,-4,-14
94794,14908,13930,AA,25,4,3,-16
94795,14908,13930,AA,26,5,-14,-18
94796,14908,13930,AA,27,6,-10,-9
94797,14908,13930,AA,28,7,-8,-7
94798,14908,13930,AA,29,1,-3,4
94799,14908,13930,AA,30,2,-7,3
96086,13930,14908,AA,2,2,5,-14
96087,13930,14908,AA,3,3,-2,-30
96088,13930,14908,AA,4,4,45,29
96089,13930,14908,AA,5,5,-5,-27
96090,13930,14908,AA,6,6,-4,-2
96091,13930,14908,AA,7,7,1,-8
96092,13930,14908,AA,8,1,40,25
96093,13930,14908,AA,9,2,65,56
96094,13930,14908,AA,10,3,0,0
96095,13930,14908,AA,11,4,100,98
96096,13930,14908,AA,12,5,4,-25
96097,13930,14908,AA,13,6,0,-9
96098,13930,14908,AA,14,7,-4,11
96099,13930,14908,AA,15,1,-1,-1
96100,13930,14908,AA,16,2,129,132
96101,13930,14908,AA,17,3,85,133
96102,13930,14908,AA,18,4,133,124
96103,13930,14908,AA,19,5,22,5
96104,13930,14908,AA,20,6,1,-19
96105,13930,14908,AA,21,7,0,-10
96106,13930,14908,AA,22,1,-3,-8
96107,13930,14908,AA,23,2,0,0
96108,13930,14908,AA,24,3,-3,1
96109,13930,14908,AA,25,4,-1,-9
96110,13930,14908,AA,26,5,-3,-21
96111,13930,14908,AA,27,6,-8,-40
96112,13930,14908,AA,28,7,2,-32
96113,13930,14908,AA,29,1,-7,-39
96114,13930,14908,AA,30,2,-4,-35
96813,13930,14908,AA,1,1,-5,-7
96814,13930,14908,AA,2,2,-3,-10
96815,13930,14908,AA,3,3,-2,-17
96816,13930,14908,AA,4,4,-3,-10
96817,13930,14908,AA,5,5,-2,-8
96818,13930,14908,AA,7,7,10,0
96819,13930,14908,AA,8,1,16,19
96820,13930,14908,AA,9,2,-1,-13
96821,13930,14908,AA,10,3,21,8
96822,13930,14908,AA,11,4,4,21
96823,13930,14908,AA,12,5,-3,-23
96824,13930,14908,AA,14,7,29,51
96825,13930,14908,AA,15,1,-3,6
96826,13930,14908,AA,16,2,0,8
96827,13930,14908,AA,17,3,-4,13
96828,13930,14908,AA,18,4,59,52
96829,13930,14908,AA,19,5,33,15
96830,13930,14908,AA,21,7,-3,-13
96831,13930,14908,AA,22,1,-3,13
96832,13930,14908,AA,23,2,-4,-3
96833,13930,14908,AA,24,3,1,5
96834,13930,14908,AA,25,4,-1,6
96835,13930,14908,AA,26,5,-4,-18
96836,13930,14908,AA,28,7,-6,-28
96837,13930,14908,AA,29,1,-5,-26
96838,13930,14908,AA,30,2,-1,-19
98256,14908,13930,AA,1,1,-2,-15
98257,14908,13930,AA,2,2,-9,-27
98258,14908,13930,AA,3,3,-9,-11
98259,14908,13930,AA,4,4,-3,3
98260,14908,13930,AA,5,5,-9,-25
98261,14908,13930,AA,7,7,-9,-24
98262,14908,13930,AA,8,1,32,42
98263,14908,13930,AA,9,2,79,78
98264,14908,13930,AA,10,3,149,172
98265,14908,13930,AA,11,4,58,71
98266,14908,13930,AA,12,5,-9,5
98267,14908,13930,AA,14,7,36,15
98268,14908,13930,AA,15,1,-3,0
98269,14908,13930,AA,16,2,156,140
98270,14908,13930,AA,17,3,0,0
98271,14908,13930,AA,18,4,159,137
98272,14908,13930,AA,19,5,12,21
98273,14908,13930,AA,21,7,-7,-20
98274,14908,13930,AA,22,1,5,2
98275,14908,13930,AA,23,2,-2,-14
98276,14908,13930,AA,24,3,-3,-27
98277,14908,13930,AA,25,4,-2,-18
98278,14908,13930,AA,26,5,0,-12
98279,14908,13930,AA,28,7,16,10
98280,14908,13930,AA,29,1,-2,19
98281,14908,13930,AA,30,2,-8,-2
100818,12478,13930,AA,1,1,0,-12
100819,12478,13930,AA,2,2,-1,-21
100820,12478,13930,AA,3,3,0,-30
100821,12478,13930,AA,4,4,1,-31
100822,12478,13930,AA,5,5,7,-3
100823,12478,13930,AA,6,6,20,-21
100824,12478,13930,AA,7,7,-2,-39
100825,12478,13930,AA,8,1,13,-5
100826,12478,13930,AA,9,2,129,101
100827,12478,13930,AA,10,3,122,164
100828,12478,13930,AA,11,4,113,88
100829,12478,13930,AA,12,5,11,-5
100830,12478,13930,AA,13,6,2,-30
100831,12478,13930,AA,14,7,11,-20
100832,12478,13930,AA,15,1,-5,-21
100833,12478,13930,AA,16,2,159,142
100834,12478,13930,AA,17,3,249,239
100835,12478,13930,AA,18,4,208,166
100836,12478,13930,AA,19,5,78,100
100837,12478,13930,AA,20,6,-3,-3
100838,12478,13930,AA,21,7,0,-37
100839,12478,13930,AA,22,1,198,157
100840,12478,13930,AA,23,2,57,35
100841,12478,13930,AA,24,3,182,188
100842,12478,13930,AA,25,4,-2,-5
100843,12478,13930,AA,26,5,-3,-24
100844,12478,13930,AA,27,6,13,-20
100845,12478,13930,AA,28,7,28,-16
100846,12478,13930,AA,29,1,-4,-40
100847,12478,13930,AA,30,2,-2,-36
102426,13930,14570,AA,1,1,29,24
102427,13930,14570,AA,2,2,-6,-14
102428,13930,14570,AA,3,3,-3,-15
102429,13930,14570,AA,4,4,14,5
102430,13930,14570,AA,5,5,0,-10
102431,13930,14570,AA,6,6,-3,0
102432,13930,14570,AA,7,7,-1,-6
102433,13930,14570,AA,8,1,3,3
102434,13930,14570,AA,9,2,74,58
102435,13930,14570,AA,10,3,393,380
102436,13930,14570,AA,11,4,87,78
102437,13930,14570,AA,12,5,6,-4
102438,13930,14570,AA,13,6,-3,-1
102439,13930,14570,AA,14,7,-1,-1
102440,13930,14570,AA,15,1,-5,17
102441,13930,14570,AA,16,2,15,16
102442,13930,14570,AA,17,3,227,208
102443,13930,14570,AA,18,4,20,2
102444,13930,14570,AA,19,5,2,-7
102445,13930,14570,AA,20,6,0,-19
102446,13930,14570,AA,21,7,-1,6
102447,13930,14570,AA,22,1,-4,-6
102448,13930,14570,AA,23,2,-3,2
102449,13930,14570,AA,24,3,-5,4
102450,13930,14570,AA,25,4,-1,-6
102451,13930,14570,AA,26,5,8,-6
102452,13930,14570,AA,27,6,-6,-25
102453,13930,14570,AA,28,7,-2,-18
102454,13930,14570,AA,29,1,1,9
102455,13930,14570,AA,30,2,-2,7
104073,14570,13930,AA,1,1,-5,-29
104561,14570,13930,AA,2,2,-1,-6
104562,14570,13930,AA,3,3,-4,-25
104563,14570,13930,AA,4,4,-1,-3
104564,14570,13930,AA,5,5,-1,-20
104565,14570,13930,AA,6,6,-6,-22
104566,14570,13930,AA,7,7,10,-16
104567,14570,13930,AA,8,1,115,115
104568,14570,13930,AA,9,2,133,125
104569,14570,13930,AA,10,3,118,118
104570,14570,13930,AA,11,4,196,210
104571,14570,13930,AA,12,5,41,35
104572,14570,13930,AA,13,6,-1,-17
104573,14570,13930,AA,14,7,-6,-39
104574,14570,13930,AA,15,1,0,-34
104575,14570,13930,AA,16,2,-3,-35
104576,14570,13930,AA,17,3,116,126
104577,14570,13930,AA,18,4,51,86
104578,14570,13930,AA,19,5,72,78
104579,14570,13930,AA,20,6,-4,-12
104580,14570,13930,AA,21,7,-1,-25
104581,14570,13930,AA,22,1,584,551
104582,14570,13930,AA,23,2,5,5
104583,14570,13930,AA,24,3,8,-29
104584,14570,13930,AA,25,4,-3,4
104585,14570,13930,AA,26,5,39,23
104586,14570,13930,AA,27,6,-4,-12
104587,14570,13930,AA,28,7,-7,-31
104588,14570,13930,AA,29,1,0,-11
104589,14570,13930,AA,30,2,-2,-30
106826,13930,14908,AA,1,1,-4,-7
106827,13930,14908,AA,2,2,-8,-31
106828,13930,14908,AA,3,3,-3,-19
106829,13930,14908,AA,4,4,-2,-10
106830,13930,14908,AA,5,5,-4,-13
106831,13930,14908,AA,6,6,14,5
106832,13930,14908,AA,7,7,-2,5
106833,13930,14908,AA,8,1,94,87
106834,13930,14908,AA,9,2,47,30
106835,13930,14908,AA,11,4,4,-1
106836,13930,14908,AA,12,5,15,-2
106837,13930,14908,AA,13,6,-1,-16
106838,13930,14908,AA,14,7,2,17
106839,13930,14908,AA,15,1,0,22
106840,13930,14908,AA,16,2,123,110
106841,13930,14908,AA,17,3,0,0
106842,13930,14908,AA,18,4,12,-14
106843,13930,14908,AA,19,5,-3,-7
106844,13930,14908,AA,20,6,8,-3
106845,13930,14908,AA,21,7,44,46
106846,13930,14908,AA,22,1,53,55
106847,13930,14908,AA,23,2,-1,4
106848,13930,14908,AA,24,3,-1,-9
106849,13930,14908,AA,25,4,-2,-9
106850,13930,14908,AA,26,5,0,-23
106851,13930,14908,AA,27,6,-5,-29
106852,13930,14908,AA,28,7,64,39
106853,13930,14908,AA,29,1,3,-22
106854,13930,14908,AA,30,2,-3,-23
114383,13930,12478,AA,1,1,-3,-20
114384,13930,12478,AA,2,2,-2,-19
114385,13930,12478,AA,3,3,1,-24
114386,13930,12478,AA,4,4,-1,-23
114387,13930,12478,AA,5,5,-3,4
114388,13930,12478,AA,6,6,42,17
114389,13930,12478,AA,7,7,3,-20
114390,13930,12478,AA,8,1,33,12
114391,13930,12478,AA,9,2,68,37
114392,13930,12478,AA,10,3,31,13
114393,13930,12478,AA,11,4,118,107
114394,13930,12478,AA,12,5,7,-1
114395,13930,12478,AA,13,6,20,-13
114396,13930,12478,AA,14,7,-1,-8
114397,13930,12478,AA,15,1,-4,-27
114398,13930,12478,AA,16,2,182,159
114399,13930,12478,AA,17,3,42,59
114400,13930,12478,AA,18,4,222,219
114401,13930,12478,AA,19,5,56,71
114402,13930,12478,AA,20,6,-5,-31
114403,13930,12478,AA,21,7,1,-12
114404,13930,12478,AA,22,1,185,202
114405,13930,12478,AA,23,2,64,62
114406,13930,12478,AA,24,3,113,144
114407,13930,12478,AA,25,4,13,-15
114408,13930,12478,AA,26,5,3,-28
114409,13930,12478,AA,27,6,23,5
114410,13930,12478,AA,28,7,1,-3
114411,13930,12478,AA,29,1,5,-13
114412,13930,12478,AA,30,2,-8,-12
115722,14908,13930,AA,2,2,-6,-26
115723,14908,13930,AA,3,3,-5,-15
115724,14908,13930,AA,4,4,-10,-19
115725,14908,13930,AA,5,5,-8,-21
115726,14908,13930,AA,6,6,-6,-29
115727,14908,13930,AA,7,7,-3,-27
115728,14908,13930,AA,8,1,30,33
115729,14908,13930,AA,9,2,115,114
115730,14908,13930,AA,10,3,0,0
115731,14908,13930,AA,11,4,130,158
115732,14908,13930,AA,12,5,0,-15
115733,14908,13930,AA,13,6,-5,-3
115734,14908,13930,AA,14,7,-5,-36
115735,14908,13930,AA,15,1,-5,-24
115736,14908,13930,AA,16,2,-8,-7
115737,14908,13930,AA,18,4,172,211
115738,14908,13930,AA,19,5,1,-9
115739,14908,13930,AA,20,6,-2,-20
115740,14908,13930,AA,21,7,-4,-24
115741,14908,13930,AA,22,1,-1,-22
115742,14908,13930,AA,23,2,1,-13
115743,14908,13930,AA,24,3,-2,-25
115744,14908,13930,AA,25,4,-5,-18
115745,14908,13930,AA,26,5,-6,-19
115746,14908,13930,AA,27,6,-4,-5
115747,14908,13930,AA,28,7,-3,-1
115748,14908,13930,AA,29,1,1,-2
115749,14908,13930,AA,30,2,-4,2
116752,14908,13930,AA,1,1,-8,-27
127769,12478,13930,B6,1,1,0,-10
127770,12478,13930,B6,1,1,108,132
128949,13930,12478,B6,2,2,-1,-17
128950,13930,12478,B6,2,2,18,6
130036,12478,13930,B6,4,4,-3,-12
130037,12478,13930,B6,4,4,-1,-16
130190,13930,12478,B6,4,4,-6,-18
130191,13930,12478,B6,4,4,17,6
130781,12478,13930,B6,5,5,6,10
130782,12478,13930,B6,5,5,60,44
130935,13930,12478,B6,5,5,16,24
130936,13930,12478,B6,5,5,-6,-18
131332,12478,13930,B6,6,6,15,5
131333,12478,13930,B6,6,6,8,-18
131475,13930,12478,B6,6,6,0,-11
131476,13930,12478,B6,6,6,15,14
132195,12478,13930,B6,11,4,2,-4
132196,12478,13930,B6,11,4,33,25
132348,13930,12478,B6,11,4,-1,6
132349,13930,12478,B6,11,4,23,41
132897,12478,13930,B6,3,3,4,-2
132898,12478,13930,B6,3,3,30,12
133046,13930,12478,B6,3,3,-4,-19
133047,13930,12478,B6,3,3,-9,-12
133184,12478,13930,B6,8,1,-2,-1
133185,12478,13930,B6,8,1,2,-9
133339,13930,12478,B6,8,1,90,79
133340,13930,12478,B6,8,1,40,30
133768,12478,13930,B6,9,2,-4,1
133769,12478,13930,B6,9,2,19,-4
133918,13930,12478,B6,9,2,23,36
133919,13930,12478,B6,9,2,87,95
134474,12478,13930,B6,7,7,13,7
134475,12478,13930,B6,7,7,-2,-17
134628,13930,12478,B6,7,7,12,7
134629,13930,12478,B6,7,7,66,64
135369,12478,13930,B6,13,6,-6,-2
135370,12478,13930,B6,13,6,104,75
135591,12478,13930,B6,10,3,92,151
135737,13930,12478,B6,10,3,-5,11
135738,13930,12478,B6,10,3,214,218
136209,12478,13930,B6,17,3,-2,-9
136210,12478,13930,B6,17,3,80,0
136358,13930,12478,B6,17,3,-7,-7
136359,13930,12478,B6,17,3,217,213
136797,12478,13930,B6,18,4,156,280
136798,12478,13930,B6,18,4,114,119
137774,13930,14908,AA,1,1,8,3
138201,10140,12478,B6,22,1,-3,-12
138229,12478,13930,B6,14,7,7,-1
138230,12478,13930,B6,14,7,-5,-29
138383,13930,12478,B6,14,7,-4,-16
138384,13930,12478,B6,14,7,-4,-12
138824,12478,13930,B6,15,1,0,-6
138825,12478,13930,B6,15,1,13,-1
138977,13930,12478,B6,15,1,14,4
138978,13930,12478,B6,15,1,55,45
139135,12478,13930,B6,20,6,0,-4
139136,12478,13930,B6,20,6,2,-15
139276,13930,12478,B6,20,6,-8,-18
139277,13930,12478,B6,20,6,-8,-13
139685,13930,12478,B6,13,6,-5,-13
139686,13930,12478,B6,13,6,42,24
140464,12478,13930,B6,19,5,0,8
140465,12478,13930,B6,19,5,42,51
140619,13930,12478,B6,19,5,-3,4
140620,13930,12478,B6,19,5,191,189
141010,10140,12478,B6,25,4,24,11
141274,12478,10140,B6,22,1,42,31
141333,12478,13930,B6,22,1,27,21
141334,12478,13930,B6,22,1,90,106
141481,13930,12478,B6,22,1,20,47
141482,13930,12478,B6,22,1,151,141
141612,10140,12478,B6,23,2,-1,-16
141843,12478,10140,B6,26,5,-5,14
141904,12478,13930,B6,26,5,-5,-18
141905,12478,13930,B6,26,5,4,2
142055,13930,12478,B6,26,5,-7,-9
142056,13930,12478,B6,26,5,-1,-21
142181,10140,12478,B6,27,6,-12,-17
142393,12478,10140,B6,27,6,-5,-19
142444,12478,13930,B6,27,6,-1,-17
142445,12478,13930,B6,27,6,0,-33
142598,12478,13930,B6,12,5,10,2
142599,12478,13930,B6,12,5,6,27
142754,13930,12478,B6,12,5,-7,-11
142755,13930,12478,B6,12,5,96,84
143192,12478,13930,B6,16,2,-6,-5
143193,12478,13930,B6,16,2,-3,-21
143341,13930,12478,B6,16,2,7,2
143342,13930,12478,B6,16,2,-5,1
143969,13930,12478,B6,18,4,108,123
143970,13930,12478,B6,18,4,118,114
144054,12478,10140,B6,23,2,-3,15
144113,12478,13930,B6,23,2,0,-5
144114,12478,13930,B6,23,2,-8,-3
144253,13930,12478,B6,23,2,-5,-4
144254,13930,12478,B6,23,2,36,24
144378,10140,12478,B6,24,3,59,25
144619,12478,10140,B6,24,3,12,70
144676,12478,13930,B6,24,3,-5,-13
144677,12478,13930,B6,24,3,-3,-17
144815,13930,12478,B6,24,3,22,10
144816,13930,12478,B6,24,3,0,0
144911,12478,13930,B6,29,1,24,24
144912,12478,13930,B6,29,1,42,21
145060,13930,12478,B6,29,1,-5,-11
145061,13930,12478,B6,29,1,34,29
145184,10140,12478,B6,30,2,-7,4
145371,12478,13930,B6,21,7,50,39
145372,12478,13930,B6,21,7,42,41
145526,13930,12478,B6,21,7,214,218
145527,13930,12478,B6,21,7,66,94
145605,10140,12478,B6,28,7,-3,-6
145848,12478,10140,B6,28,7,-8,-17
145906,12478,13930,B6,28,7,4,-10
145907,12478,13930,B6,28,7,-4,-23
146056,13930,12478,B6,28,7,-15,-20
146057,13930,12478,B6,28,7,-8,-27
146184,10140,12478,B6,29,1,-5,-2
146428,12478,10140,B6,29,1,-7,-14
148186,12478,10140,B6,30,2,0,-5
148241,12478,13930,B6,30,2,-7,-4
148242,12478,13930,B6,30,2,50,24
148379,13930,12478,B6,30,2,-5,7
148380,13930,12478,B6,30,2,23,50
159320,13930,12478,B6,27,6,-5,-14
159321,13930,12478,B6,27,6,-20,-44
174324,13930,12478,B6,1,1,-2,-9
174325,13930,12478,B6,1,1,11,-3
174759,12478,13930,B6,2,2,-2,-14
174760,12478,13930,B6,2,2,20,35
184240,13930,14908,UA,24,3,16,14
198271,11259,10140,WN,1,1,4,3
198272,11259,10140,WN,1,1,4,-5
198273,11259,10140,WN,1,1,1,1
198274,11259,10140,WN,1,1,-1,-4
198275,11259,10140,WN,1,1,0,-4
198276,11259,10140,WN,1,1,2,-7
198277,11259,10140,WN,1,1,14,19
198278,11259,10140,WN,1,1,1,-1
199559,10140,11259,WN,1,1,-3,-11
199560,10140,11259,WN,1,1,-2,-14
199561,10140,11259,WN,1,1,21,19
199562,10140,11259,WN,1,1,0,-12
199563,10140,11259,WN,1,1,-1,-11
199564,10140,11259,WN,1,1,21,23
199565,10140,11259,WN,1,1,0,-10
199566,10140,11259,WN,1,1,35,41
201027,10140,11259,WN,2,2,-6,-15
201028,10140,11259,WN,2,2,-1,-10
201029,10140,11259,WN,2,2,-2,-3
201030,10140,11259,WN,2,2,32,27
201031,10140,11259,WN,2,2,-2,-7
201032,10140,11259,WN,2,2,51,50
201033,10140,11259,WN,2,2,10,11
201522,11259,10140,WN,2,2,-2,-3
201523,11259,10140,WN,2,2,96,85
201524,11259,10140,WN,2,2,-1,-2
201525,11259,10140,WN,2,2,-1,-5
201526,11259,10140,WN,2,2,-2,1
201527,11259,10140,WN,2,2,15,20
201528,11259,10140,WN,2,2,13,13
201529,11259,10140,WN,2,2,-1,-9
204291,10140,11259,WN,3,3,-3,1
204292,10140,11259,WN,3,3,-2,-11
204293,10140,11259,WN,3,3,-10,-8
204294,10140,11259,WN,3,3,4,5
204295,10140,11259,WN,3,3,0,-3
204296,10140,11259,WN,3,3,1,-4
204297,10140,11259,WN,3,3,-2,3
204298,10140,11259,WN,3,3,1,4
204601,10140,11259,WN,4,4,-3,0
204602,10140,11259,WN,4,4,0,-6
204603,10140,11259,WN,4,4,-3,-1
204604,10140,11259,WN,4,4,3,7
204605,10140,11259,WN,4,4,0,2
204606,10140,11259,WN,4,4,28,25
204607,10140,11259,WN,4,4,7,13
205137,14307,13930,UA,1,1,2,-1
205139,14908,13930,UA,1,1,-4,-24
205280,14908,13930,UA,1,1,9,-17
205294,13930,14908,UA,1,1,-4,10
205295,13930,14307,UA,1,1,7,10
207244,11259,10140,WN,5,5,-2,-1
207245,11259,10140,WN,5,5,14,12
207246,11259,10140,WN,5,5,-2,-7
